Date,Open,High,Low,Close,Volume,Currency
2000-01-04,5.42,5.42,5.32,5.375,27560,USD
2000-01-05,5.375,5.38,5.16,5.21,13515,USD
2000-01-06,5.205,5.215,5.15,5.167,4729,USD
2000-01-07,5.17,5.215,5.15,5.195,5375,USD
2000-01-10,5.19,5.23,5.17,5.19,4278,USD
2000-01-11,5.19,5.22,5.19,5.195,18507,USD
2000-01-12,5.205,5.225,5.125,5.143,10288,USD
2000-01-13,5.14,5.175,5.125,5.153,5478,USD
2000-01-14,5.16,5.18,5.13,5.15,9314,USD
2000-01-18,5.16,5.19,5.125,5.165,6171,USD
2000-01-19,5.17,5.19,5.14,5.173,21749,USD
2000-01-20,5.18,5.285,5.155,5.257,10709,USD
2000-01-21,5.26,5.3,5.23,5.26,8764,USD
2000-01-24,5.26,5.32,5.255,5.293,9412,USD
2000-01-25,5.295,5.36,5.29,5.315,7333,USD
2000-01-26,5.32,5.325,5.255,5.283,28433,USD
2000-01-27,5.28,5.43,5.255,5.415,20618,USD
2000-01-28,5.415,5.5,5.32,5.327,12660,USD
2000-01-31,5.31,5.36,5.275,5.317,10949,USD
2000-02-01,5.32,5.325,5.23,5.253,9726,USD
2000-02-02,5.255,5.315,5.235,5.24,7032,USD
2000-02-03,5.24,5.295,5.235,5.288,27759,USD
2000-02-04,5.29,5.6,5.28,5.572,41988,USD
2000-02-07,5.57,5.6,5.26,5.285,14932,USD
2000-02-08,5.29,5.37,5.28,5.34,16931,USD
2000-02-09,5.345,5.46,5.33,5.43,12926,USD
2000-02-10,5.43,5.47,5.35,5.425,13044,USD
2000-02-11,5.425,5.445,5.335,5.35,12518,USD
2000-02-14,5.355,5.355,5.26,5.27,10016,USD
2000-02-15,5.28,5.3,5.25,5.258,6097,USD
2000-02-16,5.26,5.32,5.255,5.305,12677,USD
2000-02-17,5.3,5.355,5.25,5.265,3732,USD
2000-02-18,5.26,5.295,5.26,5.283,9437,USD
2000-02-22,5.285,5.3,5.24,5.293,8337,USD
2000-02-23,5.3,5.305,5.255,5.263,26513,USD
2000-02-24,5.26,5.265,5.16,5.17,26390,USD
2000-02-25,5.225,5.245,5.08,5.088,22602,USD
2000-02-28,5.11,5.15,5.09,5.11,9917,USD
2000-02-29,5.11,5.15,5.1,5.108,9253,USD
2000-03-01,5.125,5.19,5.12,5.133,18185,USD
2000-03-02,5.14,5.14,5.06,5.063,11099,USD
2000-03-03,5.065,5.17,5.06,5.153,4749,USD
2000-03-06,5.145,5.15,5.1,5.105,6767,USD
2000-03-07,5.105,5.165,5.1,5.12,3822,USD
2000-03-08,5.13,5.14,5.11,5.125,5838,USD
2000-03-09,5.125,5.155,5.075,5.14,3320,USD
2000-03-10,5.145,5.155,5.105,5.107,4756,USD
2000-03-13,5.12,5.16,5.105,5.107,4864,USD
2000-03-14,5.12,5.155,5.115,5.132,9381,USD
2000-03-15,5.135,5.2,5.1,5.165,7311,USD
2000-03-16,5.17,5.175,5.09,5.125,4433,USD
2000-03-17,5.13,5.14,5.105,5.13,9871,USD
2000-03-20,5.13,5.145,5.06,5.068,17429,USD
2000-03-21,5.075,5.2,5.065,5.158,9142,USD
2000-03-22,5.165,5.21,5.15,5.165,9119,USD
2000-03-23,5.17,5.17,5.1,5.123,5909,USD
2000-03-24,5.125,5.17,5.105,5.148,5369,USD
2000-03-27,5.155,5.155,5.105,5.12,5707,USD
2000-03-28,5.115,5.135,5.095,5.103,27897,USD
2000-03-29,5.105,5.12,4.965,4.98,13576,USD
2000-03-30,4.99,4.99,4.92,4.983,9811,USD
2000-03-31,4.98,5.05,4.95,5.045,5501,USD
2000-04-03,5.045,5.085,5.035,5.057,32562,USD
2000-04-04,5.055,5.21,5.015,5.165,8952,USD
2000-04-05,5.155,5.19,5.115,5.137,4581,USD
2000-04-06,5.135,5.15,5.1,5.132,3681,USD
2000-04-07,5.145,5.145,5.105,5.122,6228,USD
2000-04-10,5.135,5.185,5.12,5.168,6620,USD
2000-04-11,5.17,5.185,5.13,5.145,5951,USD
2000-04-12,5.15,5.18,5.115,5.148,12375,USD
2000-04-13,5.145,5.195,5.14,5.175,17906,USD
2000-04-14,5.175,5.24,5.125,5.175,5677,USD
2000-04-17,5.17,5.185,5.135,5.143,10620,USD
2000-04-18,5.14,5.175,5.11,5.14,5442,USD
2000-04-19,5.145,5.16,5.125,5.133,22715,USD
2000-04-20,5.135,5.14,4.97,5.0,11738,USD
2000-04-24,5.01,5.035,4.95,4.953,10854,USD
2000-04-25,4.955,5.02,4.955,5.015,18258,USD
2000-04-26,5.01,5.02,4.93,4.947,14836,USD
2000-04-27,5.015,5.045,4.975,5.015,6180,USD
2000-04-28,5.025,5.04,4.985,5.015,10227,USD
2000-05-01,5.025,5.1,5.0,5.077,3711,USD
2000-05-02,5.09,5.095,5.06,5.077,8157,USD
2000-05-03,5.07,5.105,5.055,5.077,19118,USD
2000-05-04,5.075,5.18,5.065,5.17,14573,USD
2000-05-05,5.17,5.175,5.035,5.053,4885,USD
2000-05-08,5.055,5.095,5.04,5.065,6596,USD
2000-05-09,5.07,5.135,5.045,5.085,3372,USD
2000-05-10,5.08,5.11,5.065,5.08,7244,USD
2000-05-11,5.075,5.08,5.035,5.06,6543,USD
2000-05-12,5.05,5.095,5.035,5.058,6416,USD
2000-05-15,5.06,5.07,5.015,5.06,18967,USD
2000-05-16,5.06,5.19,5.05,5.145,14863,USD
2000-05-17,5.135,5.14,5.035,5.04,10921,USD
2000-05-18,5.055,5.06,5.0,5.055,7381,USD
2000-05-19,5.06,5.065,5.01,5.03,4517,USD
2000-05-22,5.03,5.07,5.025,5.048,3986,USD
2000-05-23,5.055,5.065,5.035,5.048,8373,USD
2000-05-24,5.045,5.05,5.0,5.02,20731,USD
2000-05-25,5.025,5.04,4.92,4.948,5723,USD
2000-05-26,4.955,4.98,4.935,4.963,6770,USD
2000-05-30,4.98,4.995,4.915,4.948,7302,USD
2000-05-31,4.955,4.99,4.945,4.965,10315,USD
2000-06-01,4.985,4.985,4.91,4.965,29823,USD
2000-06-02,4.97,5.09,4.955,5.05,9883,USD
2000-06-05,5.05,5.105,5.045,5.075,24055,USD
2000-06-06,5.07,5.17,5.05,5.11,11683,USD
2000-06-07,5.11,5.135,5.085,5.12,11238,USD
2000-06-08,5.11,5.155,5.08,5.097,7646,USD
2000-06-09,5.1,5.115,5.04,5.062,7800,USD
2000-06-12,5.07,5.07,5.025,5.042,15943,USD
2000-06-13,5.05,5.14,5.015,5.025,12103,USD
2000-06-14,5.025,5.11,5.015,5.09,5461,USD
2000-06-15,5.095,5.115,5.065,5.077,5721,USD
2000-06-16,5.08,5.11,5.065,5.085,8606,USD
2000-06-19,5.09,5.09,5.025,5.043,5844,USD
2000-06-20,5.045,5.065,5.025,5.035,21827,USD
2000-06-21,5.035,5.055,4.96,4.97,10240,USD
2000-06-22,4.97,5.0,4.95,4.978,10539,USD
2000-06-23,4.98,4.985,4.95,4.958,11937,USD
2000-06-26,4.965,4.995,4.94,4.985,15243,USD
2000-06-27,4.99,5.0,4.935,4.958,13248,USD
2000-06-28,4.95,4.99,4.95,4.989,16592,USD
2000-06-29,5.035,5.12,5.03,5.058,9586,USD
2000-06-30,5.06,5.11,5.055,5.083,8943,USD
2000-07-05,5.055,5.075,5.015,5.04,6093,USD
2000-07-06,5.04,5.08,5.03,5.053,7004,USD
2000-07-07,5.05,5.055,5.01,5.033,3900,USD
2000-07-10,5.04,5.065,5.035,5.053,9333,USD
2000-07-11,5.05,5.06,5.005,5.01,6960,USD
2000-07-12,5.015,5.05,4.99,5.023,6969,USD
2000-07-13,5.025,5.05,5.0,5.03,6969,USD
2000-07-14,5.03,5.075,5.02,5.05,7701,USD
2000-07-17,5.055,5.09,5.055,5.065,5059,USD
2000-07-18,5.065,5.085,5.055,5.068,10245,USD
2000-07-19,5.065,5.07,5.02,5.028,6984,USD
2000-07-20,5.03,5.05,5.01,5.04,18818,USD
2000-07-21,5.035,5.055,4.965,4.97,6280,USD
2000-07-24,4.98,5.0,4.95,4.988,12849,USD
2000-07-25,4.985,5.055,4.98,5.033,8566,USD
2000-07-26,5.035,5.04,4.975,4.99,6394,USD
2000-07-27,5.0,5.04,4.99,5.005,3513,USD
2000-07-28,5.005,5.025,4.995,5.0,6485,USD
2000-07-31,5.01,5.04,4.99,5.038,5117,USD
2000-08-01,5.035,5.045,5.01,5.028,3075,USD
2000-08-02,5.03,5.04,5.01,5.023,5983,USD
2000-08-03,5.03,5.03,4.99,5.005,17529,USD
2000-08-04,5.005,5.01,4.925,4.943,7289,USD
2000-08-07,4.943,4.975,4.94,4.97,11432,USD
2000-08-08,4.985,5.0,4.915,4.935,8694,USD
2000-08-09,4.945,4.945,4.895,4.918,6436,USD
2000-08-10,4.92,4.94,4.9,4.925,5957,USD
2000-08-11,4.925,4.965,4.925,4.945,6762,USD
2000-08-14,4.95,4.955,4.895,4.908,8453,USD
2000-08-15,4.905,4.915,4.875,4.883,10669,USD
2000-08-16,4.89,4.915,4.87,4.875,6891,USD
2000-08-17,4.885,4.915,4.875,4.883,8683,USD
2000-08-18,4.89,4.89,4.845,4.855,4321,USD
2000-08-21,4.86,4.87,4.855,4.868,8200,USD
2000-08-22,4.865,4.865,4.835,4.848,14165,USD
2000-08-23,4.84,4.855,4.78,4.798,14500,USD
2000-08-24,4.8,4.865,4.775,4.86,13215,USD
2000-08-25,4.86,4.93,4.86,4.895,10728,USD
2000-08-28,4.9,4.94,4.9,4.935,13822,USD
2000-08-29,4.93,4.955,4.905,4.947,16796,USD
2000-08-30,5.015,5.015,4.962,4.985,21895,USD
2000-08-31,4.985,5.085,4.98,5.045,5112,USD
2000-09-01,5.045,5.055,5.025,5.047,6996,USD
2000-09-05,5.04,5.05,5.01,5.04,5996,USD
2000-09-06,5.04,5.045,5.02,5.027,12356,USD
2000-09-07,5.03,5.03,4.95,4.982,5126,USD
2000-09-08,4.98,4.995,4.96,4.972,6263,USD
2000-09-11,4.97,4.97,4.93,4.937,6442,USD
2000-09-12,4.94,4.985,4.925,4.962,4888,USD
2000-09-13,4.955,4.97,4.925,4.947,4616,USD
2000-09-14,4.945,4.98,4.94,4.95,4890,USD
2000-09-15,4.96,4.96,4.905,4.93,4363,USD
2000-09-18,4.93,4.965,4.93,4.938,1964,USD
2000-09-19,4.935,4.96,4.93,4.945,11781,USD
2000-09-20,4.95,4.96,4.885,4.893,5769,USD
2000-09-21,4.9,4.94,4.895,4.935,12296,USD
2000-09-22,4.93,5.01,4.93,4.973,4001,USD
2000-09-25,4.975,4.98,4.945,4.978,4111,USD
2000-09-26,4.98,5.0,4.97,4.983,8920,USD
2000-09-27,4.99,5.03,4.97,5.02,6461,USD
2000-09-28,5.02,5.025,4.99,5.002,11989,USD
2000-09-29,5.01,5.015,4.915,4.948,3211,USD
2000-10-02,4.955,4.97,4.945,4.955,2448,USD
